year;title;studios;producers;winner
2003;Gigli;Columbia Pictures, Revolution Studios;Martin Brest and Casey Silver;yes
2003;The Cat in the Hat;Universal Studios, DreamWorks;Brian Grazer;
2003;Charlie's Angels: Full Throttle;Columbia Pictures;Drew Barrymore, Leonard Goldberg and Nancy Juvonen;
2003;From Justin to Kelly;20th Century Fox;John Steven Agoglia;
2003;The Real Cancun;New Line Cinema;Mary-Ellis Bunim, Jonathan Murray, Jamie Schutz and Rick de Oliveira;
2004;Catwoman;Warner Bros.;Denise Di Novi and Edward McDonnell;yes
2004;Alexander;Warner Bros.;Moritz Borman, Jon Kilik, Thomas Schuhly and Iain Smith;
2004;Superbabies: Baby Geniuses 2;Triumph Films;Steven Paul;
2004;Surviving Christmas;DreamWorks;Betty Thomas and Jenno Topping;
2004;White Chicks;Columbia Pictures, Revolution Studios;Rick Alvarez, Lee R. Mayes, Keenen Ivory Wayans, Marlon Wayans and Shawn Wayans;
2005;Dirty Love;First Look Pictures;John Mallory Asher, BJ Davis, Rod Hamilton, Kimberley Kates, Michael Manasseri, Jenny McCarthy and Trent Walford;yes
2005;Deuce Bigalow: European Gigolo;Columbia Pictures;Adam Sandler and Rob Schneider;
2005;The Dukes of Hazzard;Warner Bros., Village Roadshow;Bill Gerber;
2005;House of Wax;Warner Bros., Village Roadshow;Susan Levin, Joel Silver and Robert Zemeckis;
2005;Son of the Mask;New Line Cinema;Erica Huggins and Scott Kroopf;
2006;Basic Instinct 2;MGM, C2 Pictures;Mario Kassar, Joel B. Michaels and Andrew G. Vajna;yes
2006;BloodRayne;Romar Entertainment;Uwe Boll, Dan Clarke and Wolfgang Herrold;
2006;Lady in the Water;Warner Bros.;Sam Mercer, Jose L. Rodriguez and M. Night Shyamalan;
2006;Little Man;Columbia Pictures, Revolution Studios;Rick Alvares, Lee Mays, Marlon Wayans and Shawn Wayans;
2006;The Wicker Man;Warner Bros.;Nicolas Cage, Randall Emmett, Norm Golightly, Avi Lerner and Joanne Sellar;
2007;I Know Who Killed Me;TriStar Pictures;David Grace and Frank Mancuso Jr.;
2007;Bratz;Lionsgate;Avi Arad, Isaac Larian and Steven Paul;
2007;Daddy Day Camp;TriStar Pictures, Revolution Studios;Matt Berenson, John Davis and Wyck Godfrey;
2007;I Now Pronounce You Chuck & Larry;Universal Studios;Adam Sandler and Tom Shadyac;
2007;Norbit;DreamWorks;John Davis, Eddie Murphy and Michael Tollin;
2008;The Love Guru;Paramount Pictures;Gary Barber, Michael DeLuca and Mike Myers;yes
2008;Disaster Movie and Meet the Spartans;Lionsgate, 20th Century Fox;Jason Friedberg, Peter Safran and Aaron Seltzer;
2008;The Happening;20th Century Fox;Barry Mendel, Sam Mercer and M. Night Shyamalan;
2008;The Hottie & the Nottie;Regent Releasing;Hadeel Reda;
2008;In the Name of the King;Boll KG, Brightlight Pictures;Uwe Boll, Dan Clarke, Wolfgang Herrold and Shawn Williamson;
2009;Transformers: Revenge of the Fallen;Paramount Pictures, DreamWorks, Hasbro;Lorenzo di Bonaventura, Ian Bryce, Tom DeSanto and Don Murphy;yes
2009;All About Steve;20th Century Fox;Sandra Bullock and Mary McLaglen;
2009;G.I. Joe: The Rise of Cobra;Paramount Pictures, Hasbro;Lorenzo di Bonaventura, Bob Ducsay and Brian Goldner;
2009;Land of the Lost;Universal Studios;Sid and Marty Krofft and Jimmy Miller;
2009;Old Dogs;Walt Disney Pictures;Peter Abrams, Robert Levy and Andrew Panay;
2010;The Last Airbender;Paramount Pictures, Nickelodeon Movies;Frank Marshall, Kathleen Kennedy, Sam Mercer and M. Night Shyamalan;yes
2010;The Bounty Hunter;Columbia Pictures;Neal H. Moritz;
2010;Sex and the City 2;New Line Cinema, HBO Films, Village Roadshow Pictures;Michael Patrick King, John Melfi, Sarah Jessica Parker and Darren Star;
2010;The Twilight Saga: Eclipse;Summit Entertainment;Wyck Godfrey and Karen Rosenfelt;
2010;Vampires Suck;20th Century Fox;Jason Friedberg, Peter Safran and Aaron Seltzer;
2011;Jack and Jill;Columbia Pictures;Todd Garner, Jack Giarraputo and Adam Sandler;yes
2011;Bucky Larson: Born to Be a Star;Columbia Pictures;Barry Bernardi, Allen Covert, David Dorfman and Jack Giarraputo;
2011;New Year's Eve;Warner Bros., New Line Cinema;Mike Karz, Garry Marshall and Wayne Allan Rice;
2011;Transformers: Dark of the Moon;Paramount Pictures;Lorenzo di Bonaventura, Ian Bryce, Tom DeSanto and Don Murphy;
2011;The Twilight Saga: Breaking Dawn – Part 1;Summit Entertainment;Wyck Godfrey, Stephenie Meyer and Karen Rosenfelt;
2012;The Twilight Saga: Breaking Dawn – Part 2;Summit Entertainment;Wyck Godfrey, Stephenie Meyer and Karen Rosenfelt;yes
2012;Battleship;Universal Studios;Sarah Aubrey, Peter Berg, Brian Goldner, Duncan Henderson, Bennett Schneir and Scott Stuber;
2012;The Oogieloves in the Big Balloon Adventure;Lionsgate Films, Romar Entertainment, Kenn Viselman Presents;Gayle Dickie, Kenn Viselman;
2012;That's My Boy;Columbia Pictures;Allen Covert, Jack Giarraputo, Heather Parry and Adam Sandler;
2012;A Thousand Words;Paramount Pictures, DreamWorks;Nicolas Cage, Alain Chabat, Stephanie Danan, Norman Golightly, Brian Robbinsand Sharla Sumpter Bridgett;
2013;Movie 43;Relativity Media;Peter Farrelly, Ryan Kavanaugh, John Penotti and Charles B. Wessler;yes
2013;After Earth;Columbia Pictures;James Lassiter, Caleeb Pinkett, Jada Pinkett Smith, M. Night Shyamalan, Will Smith and Jaden Smith;
2013;Grown Ups 2;Columbia Pictures;Jack Giarraputo and Adam Sandler;
2013;The Lone Ranger;Walt Disney Pictures;Jerry Bruckheimer and Gore Verbinski;
2013;A Madea Christmas;Lionsgate;Ozzie Areu, Matt Moore and Tyler Perry;
2014;Saving Christmas;Samuel Goldwyn Films;Darren Doane, Raphi Henley, Amanda Rosser and David Shannon;yes
2014;Left Behind;Freestyle Releasing, Entertainment One;Michael Walker and Paul LaLonde;
2014;The Legend of Hercules;Summit Entertainment;Boaz Davidson, Renny Harlin, Danny Lerner and Les Weldon;
2014;Teenage Mutant Ninja Turtles;Paramount Pictures, Nickelodeon Movies, Platinum Dunes;Michael Bay, Ian Bryce, Andrew Form, Bradley Fuller, Scott Mednick and Galen Walker;
2014;Transformers: Age of Extinction;Paramount Pictures;Ian Bryce, Tom DeSanto, Lorenzo di Bonaventura and Don Murphy;
2015;Fantastic Four;20th Century Fox;Simon Kinberg, Matthew Vaughn, Hutch Parker, Robert Kulzer and Gregory Goodman;yes
2015;Fifty Shades of Grey;Universal Pictures, Focus Features;Michael De Luca, Dana Brunetti and E. L. James;yes
2015;Jupiter Ascending;Warner Bros.;Grant Hill and The Wachowskis;
2015;Paul Blart: Mall Cop 2;Columbia Pictures;Todd Garner, Kevin James and Adam Sandler;
2015;Pixels;Columbia Pictures;Adam Sandler, Chris Columbus, Mark Radcliffe and Allen Covert;
2016;Hillary's America: The Secret History of the Democratic Party;Quality Flix;Gerald R. Molen;yes
2016;Batman v Superman: Dawn of Justice;Warner Bros.;Charles Roven and Deborah Snyder;
2016;Dirty Grandpa;Lionsgate;Bill Block, Michael Simkin, Jason Barrett and Barry Josephson;
2016;Gods of Egypt;Summit Entertainment;Basil Iwanyk and Alex Proyas;
2016;Independence Day: Resurgence;20th Century Fox;Dean Devlin, Harald Kloser and Roland Emmerich;
2016;Zoolander 2;Paramount Pictures;Stuart Cornfeld, Scott Rudin, Ben Stiller and Clayton Townsend;
2017;The Emoji Movie;Columbia Pictures;Michelle Raimo Kouyate;yes
2017;Baywatch;Paramount Pictures;Ivan Reitman, Michael Berk, Douglas Schwartz, Gregory J. Bonann and Beau Flynn;
2017;Fifty Shades Darker;Universal Pictures;Michael De Luca, E. L. James, Dana Brunetti and Marcus Viscidi;
2017;The Mummy;Universal Pictures;Alex Kurtzman, Chris Morgan, Sean Daniel and Sarah Bradshaw;
2017;Transformers: The Last Knight;Paramount Pictures;Don Murphy, Tom DeSanto, Lorenzo di Bonaventura and Ian Bryce;
2018;Holmes & Watson;Columbia Pictures;Will Ferrell, Adam McKay, Jimmy Miller and Clayton Townsend;yes
2018;Gotti;Vertical Entertainment;Randall Emmett, Marc Fiore, Michael Froch and George Furla;
2018;The Happytime Murders;STX;Ben Falcone, Jeffrey Hayes, Brian Henson and Melissa McCarthy;
2018;Robin Hood;Summit Entertainment;Jennifer Davisson and Leonardo DiCaprio;
2018;Winchester;Lionsgate;Tim McGahan and Brett Tomberlin;
2019;Cats;Universal Pictures;Debra Hayward, Tim Bevan, Eric Fellner, and Tom Hooper;yes
2019;The Fanatic;Quiver Distribution;Daniel Grodnik, Oscar Generale, and Bill Kenwright;
2019;The Haunting of Sharon Tate;Saban Films;Lucas Jarach, Daniel Farrands, and Eric Brenner;
2019;A Madea Family Funeral;Lionsgate;Ozzie Areu, Will Areu, and Mark E. Swinton;
2019;Rambo: Last Blood;Lionsgate;Avi Lerner, Kevin King Templeton, Yariv Lerner, and Les Weldon;
